pairing,Conservative,Labour,Liberal Democrat,Brexit party,Democratic Unionist Party,Sinn Fein,Social Democratic & Labour Party,Alliance,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru
291,3,1,0,0,0,0,0,0,0,0,0,0
292,3,1,0,0,0,0,0,0,0,0,0,0
293,3,1,0,0,0,0,0,0,0,0,0,0
294,2,1,1,0,0,0,0,0,0,0,0,0
295,3,1,0,0,0,0,0,0,0,0,0,0
296,2,1,1,0,0,0,0,0,0,0,0,0
297,3,1,0,0,0,0,0,0,0,0,0,0
298,3,1,0,0,0,0,0,0,0,0,0,0
299,3,1,0,0,0,0,0,0,0,0,0,0
300,3,1,0,0,0,0,0,0,0,0,0,0
301,2,1,1,0,0,0,0,0,0,0,0,0
302,2,1,1,0,0,0,0,0,0,0,0,0
303,2,1,1,0,0,0,0,0,0,0,0,0
304,2,1,1,0,0,0,0,0,0,0,0,0
305,2,1,1,0,0,0,0,0,0,0,0,0
306,2,1,1,0,0,0,0,0,0,0,0,0
307,2,1,1,0,0,0,0,0,0,0,0,0
308,2,1,1,0,0,0,0,0,0,0,0,0
309,3,1,0,0,0,0,0,0,0,0,0,0
310,2,1,1,0,0,0,0,0,0,0,0,0
311,2,1,1,0,0,0,0,0,0,0,0,0
312,2,1,1,0,0,0,0,0,0,0,0,0
313,3,1,0,0,0,0,0,0,0,0,0,0
314,2,1,1,0,0,0,0,0,0,0,0,0
315,2,1,1,0,0,0,0,0,0,0,0,0
316,2,1,1,0,0,0,0,0,0,0,0,0
317,2,1,1,0,0,0,0,0,0,0,0,0
318,2,1,1,0,0,0,0,0,0,0,0,0
319,2,1,1,0,0,0,0,0,0,0,0,0
320,3,1,0,0,0,0,0,0,0,0,0,0
321,3,1,0,0,0,0,0,0,0,0,0,0
322,2,2,0,0,0,0,0,0,0,0,0,0
323,3,1,0,0,0,0,0,0,0,0,0,0
324,3,1,0,0,0,0,0,0,0,0,0,0
325,3,1,0,0,0,0,0,0,0,0,0,0
326,3,1,0,0,0,0,0,0,0,0,0,0
327,3,1,0,0,0,0,0,0,0,0,0,0
328,3,1,0,0,0,0,0,0,0,0,0,0
329,2,1,1,0,0,0,0,0,0,0,0,0
330,2,1,1,0,0,0,0,0,0,0,0,0
331,3,1,0,0,0,0,0,0,0,0,0,0
332,2,1,1,0,0,0,0,0,0,0,0,0
333,3,1,0,0,0,0,0,0,0,0,0,0
334,3,1,0,0,0,0,0,0,0,0,0,0
335,3,1,0,0,0,0,0,0,0,0,0,0
336,3,1,0,0,0,0,0,0,0,0,0,0
337,3,1,0,0,0,0,0,0,0,0,0,0
338,2,1,1,0,0,0,0,0,0,0,0,0
339,3,1,0,0,0,0,0,0,0,0,0,0
340,3,1,0,0,0,0,0,0,0,0,0,0
341,3,1,0,0,0,0,0,0,0,0,0,0
342,3,1,0,0,0,0,0,0,0,0,0,0
343,3,1,0,0,0,0,0,0,0,0,0,0
344,2,2,0,0,0,0,0,0,0,0,0,0
345,2,2,0,0,0,0,0,0,0,0,0,0
346,3,1,0,0,0,0,0,0,0,0,0,0
347,3,1,0,0,0,0,0,0,0,0,0,0
348,3,1,0,0,0,0,0,0,0,0,0,0
349,2,1,1,0,0,0,0,0,0,0,0,0
350,2,1,1,0,0,0,0,0,0,0,0,0
351,3,1,0,0,0,0,0,0,0,0,0,0
352,2,1,1,0,0,0,0,0,0,0,0,0
353,3,1,0,0,0,0,0,0,0,0,0,0
354,3,1,0,0,0,0,0,0,0,0,0,0
355,3,1,0,0,0,0,0,0,0,0,0,0
356,2,1,1,0,0,0,0,0,0,0,0,0
357,2,1,1,0,0,0,0,0,0,0,0,0
358,2,1,1,0,0,0,0,0,0,0,0,0
359,2,1,1,0,0,0,0,0,0,0,0,0
360,2,1,1,0,0,0,0,0,0,0,0,0
361,2,1,1,0,0,0,0,0,0,0,0,0
362,2,1,1,0,0,0,0,0,0,0,0,0
363,2,1,1,0,0,0,0,0,0,0,0,0
364,2,1,1,0,0,0,0,0,0,0,0,0
365,2,1,1,0,0,0,0,0,0,0,0,0
366,2,1,1,0,0,0,0,0,0,0,0,0
367,2,1,1,0,0,0,0,0,0,0,0,0
368,2,1,1,0,0,0,0,0,0,0,0,0
369,2,1,1,0,0,0,0,0,0,0,0,0
370,2,1,1,0,0,0,0,0,0,0,0,0
371,2,1,1,0,0,0,0,0,0,0,0,0
372,2,1,1,0,0,0,0,0,0,0,0,0
373,2,1,1,0,0,0,0,0,0,0,0,0
374,2,1,1,0,0,0,0,0,0,0,0,0
375,2,1,1,0,0,0,0,0,0,0,0,0
376,2,1,1,0,0,0,0,0,0,0,0,0
377,3,1,0,0,0,0,0,0,0,0,0,0
378,3,1,0,0,0,0,0,0,0,0,0,0
379,3,1,0,0,0,0,0,0,0,0,0,0
380,3,1,0,0,0,0,0,0,0,0,0,0
381,3,1,0,0,0,0,0,0,0,0,0,0
382,3,1,0,0,0,0,0,0,0,0,0,0
383,3,1,0,0,0,0,0,0,0,0,0,0
384,3,1,0,0,0,0,0,0,0,0,0,0
385,3,1,0,0,0,0,0,0,0,0,0,0
386,3,1,0,0,0,0,0,0,0,0,0,0
387,3,1,0,0,0,0,0,0,0,0,0,0
388,3,1,0,0,0,0,0,0,0,0,0,0
