pairing,Conservative,Labour,Liberal Democrat,Democratic Unionist Party,Alliance,Social Democratic & Labour Party,Sinn Fein,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru,Brexit party
362,0,2,0,0,0,0,0,0,0,0,0,0
363,0,2,0,0,0,0,0,0,0,0,0,0
364,0,2,0,0,0,0,0,0,0,0,0,0
365,0,2,0,0,0,0,0,0,0,0,0,0
366,0,2,0,0,0,0,0,0,0,0,0,0
367,0,2,0,0,0,0,0,0,0,0,0,0
368,1,1,0,0,0,0,0,0,0,0,0,0
369,1,1,0,0,0,0,0,0,0,0,0,0
370,1,1,0,0,0,0,0,0,0,0,0,0
371,1,1,0,0,0,0,0,0,0,0,0,0
372,1,1,0,0,0,0,0,0,0,0,0,0
373,1,1,0,0,0,0,0,0,0,0,0,0
374,1,1,0,0,0,0,0,0,0,0,0,0
375,1,1,0,0,0,0,0,0,0,0,0,0
376,1,1,0,0,0,0,0,0,0,0,0,0
377,1,1,0,0,0,0,0,0,0,0,0,0
378,0,2,0,0,0,0,0,0,0,0,0,0
379,0,2,0,0,0,0,0,0,0,0,0,0
380,0,2,0,0,0,0,0,0,0,0,0,0
381,1,1,0,0,0,0,0,0,0,0,0,0
382,1,1,0,0,0,0,0,0,0,0,0,0
383,0,1,1,0,0,0,0,0,0,0,0,0
384,0,2,0,0,0,0,0,0,0,0,0,0
385,1,1,0,0,0,0,0,0,0,0,0,0
386,1,1,0,0,0,0,0,0,0,0,0,0
387,1,1,0,0,0,0,0,0,0,0,0,0
388,1,0,1,0,0,0,0,0,0,0,0,0
389,1,0,1,0,0,0,0,0,0,0,0,0
390,1,0,1,0,0,0,0,0,0,0,0,0
391,1,0,1,0,0,0,0,0,0,0,0,0
392,1,1,0,0,0,0,0,0,0,0,0,0
393,0,2,0,0,0,0,0,0,0,0,0,0
394,0,2,0,0,0,0,0,0,0,0,0,0
395,0,2,0,0,0,0,0,0,0,0,0,0
396,0,2,0,0,0,0,0,0,0,0,0,0
397,0,2,0,0,0,0,0,0,0,0,0,0
398,1,1,0,0,0,0,0,0,0,0,0,0
399,0,2,0,0,0,0,0,0,0,0,0,0
400,0,2,0,0,0,0,0,0,0,0,0,0
401,1,1,0,0,0,0,0,0,0,0,0,0
402,1,1,0,0,0,0,0,0,0,0,0,0
403,1,1,0,0,0,0,0,0,0,0,0,0
404,1,1,0,0,0,0,0,0,0,0,0,0
405,2,0,0,0,0,0,0,0,0,0,0,0
406,0,2,0,0,0,0,0,0,0,0,0,0
407,1,0,1,0,0,0,0,0,0,0,0,0
408,1,1,0,0,0,0,0,0,0,0,0,0
409,1,1,0,0,0,0,0,0,0,0,0,0
410,1,0,1,0,0,0,0,0,0,0,0,0
411,1,0,1,0,0,0,0,0,0,0,0,0
412,1,1,0,0,0,0,0,0,0,0,0,0
413,0,1,1,0,0,0,0,0,0,0,0,0
414,1,1,0,0,0,0,0,0,0,0,0,0
415,1,0,1,0,0,0,0,0,0,0,0,0
416,0,2,0,0,0,0,0,0,0,0,0,0
417,1,1,0,0,0,0,0,0,0,0,0,0
418,1,1,0,0,0,0,0,0,0,0,0,0
419,1,1,0,0,0,0,0,0,0,0,0,0
420,1,1,0,0,0,0,0,0,0,0,0,0
421,1,1,0,0,0,0,0,0,0,0,0,0
422,1,1,0,0,0,0,0,0,0,0,0,0
423,1,1,0,0,0,0,0,0,0,0,0,0
424,1,1,0,0,0,0,0,0,0,0,0,0
425,1,1,0,0,0,0,0,0,0,0,0,0
426,1,1,0,0,0,0,0,0,0,0,0,0
427,1,1,0,0,0,0,0,0,0,0,0,0
428,1,1,0,0,0,0,0,0,0,0,0,0
429,1,1,0,0,0,0,0,0,0,0,0,0
430,1,1,0,0,0,0,0,0,0,0,0,0
431,1,1,0,0,0,0,0,0,0,0,0,0
432,1,1,0,0,0,0,0,0,0,0,0,0
433,1,1,0,0,0,0,0,0,0,0,0,0
434,1,1,0,0,0,0,0,0,0,0,0,0
435,1,1,0,0,0,0,0,0,0,0,0,0
436,1,1,0,0,0,0,0,0,0,0,0,0
437,1,1,0,0,0,0,0,0,0,0,0,0
438,1,1,0,0,0,0,0,0,0,0,0,0
439,1,1,0,0,0,0,0,0,0,0,0,0
440,1,1,0,0,0,0,0,0,0,0,0,0
441,1,1,0,0,0,0,0,0,0,0,0,0
442,1,1,0,0,0,0,0,0,0,0,0,0
443,1,1,0,0,0,0,0,0,0,0,0,0
444,1,1,0,0,0,0,0,0,0,0,0,0
445,1,1,0,0,0,0,0,0,0,0,0,0
446,1,1,0,0,0,0,0,0,0,0,0,0
447,1,1,0,0,0,0,0,0,0,0,0,0
448,1,1,0,0,0,0,0,0,0,0,0,0
449,1,1,0,0,0,0,0,0,0,0,0,0
450,1,1,0,0,0,0,0,0,0,0,0,0
451,1,1,0,0,0,0,0,0,0,0,0,0
452,1,1,0,0,0,0,0,0,0,0,0,0
453,1,1,0,0,0,0,0,0,0,0,0,0
454,1,1,0,0,0,0,0,0,0,0,0,0
455,1,1,0,0,0,0,0,0,0,0,0,0
456,1,1,0,0,0,0,0,0,0,0,0,0
457,1,1,0,0,0,0,0,0,0,0,0,0
458,1,1,0,0,0,0,0,0,0,0,0,0
459,1,1,0,0,0,0,0,0,0,0,0,0
460,1,1,0,0,0,0,0,0,0,0,0,0
461,1,1,0,0,0,0,0,0,0,0,0,0
462,1,1,0,0,0,0,0,0,0,0,0,0
463,1,1,0,0,0,0,0,0,0,0,0,0
464,1,1,0,0,0,0,0,0,0,0,0,0
465,1,1,0,0,0,0,0,0,0,0,0,0
466,1,1,0,0,0,0,0,0,0,0,0,0
467,1,1,0,0,0,0,0,0,0,0,0,0
468,1,1,0,0,0,0,0,0,0,0,0,0
469,1,1,0,0,0,0,0,0,0,0,0,0
470,1,1,0,0,0,0,0,0,0,0,0,0
471,1,1,0,0,0,0,0,0,0,0,0,0
472,1,1,0,0,0,0,0,0,0,0,0,0
473,1,1,0,0,0,0,0,0,0,0,0,0
474,1,1,0,0,0,0,0,0,0,0,0,0
475,1,0,1,0,0,0,0,0,0,0,0,0
476,0,2,0,0,0,0,0,0,0,0,0,0
477,1,1,0,0,0,0,0,0,0,0,0,0
478,1,1,0,0,0,0,0,0,0,0,0,0
479,1,1,0,0,0,0,0,0,0,0,0,0
480,1,1,0,0,0,0,0,0,0,0,0,0
481,1,1,0,0,0,0,0,0,0,0,0,0
482,1,1,0,0,0,0,0,0,0,0,0,0
483,1,1,0,0,0,0,0,0,0,0,0,0
484,0,2,0,0,0,0,0,0,0,0,0,0
485,1,1,0,0,0,0,0,0,0,0,0,0
486,1,1,0,0,0,0,0,0,0,0,0,0
487,1,1,0,0,0,0,0,0,0,0,0,0
488,1,1,0,0,0,0,0,0,0,0,0,0
